f^id^name^map^tiledmap^tiledimage^group^next_level^unlock_level^guide_id^required_lv^required_star^required_equiptype^required_equip^restrict_equip^topic^energy^hint^bgm^xp_drop^star1_reward^star1_reward_num^star2_reward^star2_reward_num^star3_reward^star3_reward_num^goal1^lifespan^show_xy^find_path^hero_rotation^b
0^110000^新手引导^0^map1_6_1^map1_1_1^0^110001^110001^0|2002|2003^0^0^^^^基本语法|方法使用^0^ ^fight1^0^0^0^0^0^0^0^122001|123012|120004^60^1^0^2^0
0^110019^4. 白虎石雕^1001^map1_4_4^map1_1_1^1104^110020^110020^0^0^0^4^^^初级while循环^0^ ^fight1^0^18002|14001^5|1^18002^8^18002^10^122001|123015|123023^17^1^0^4^0
0^110020^5. 生死时速^1001^map1_4_5^map1_1_1^1104^110021^110021^0^0^0^4^^^初级while循环^0^ ^fight1^0^18002^5^18002^8^18002^10^122001|124002|120004^120^1^1^4^0
0^110021^1. 以战之名^1001^map1_5_1^map1_1_1^1105^110022^110022^0^0^0^^^^变量命名和赋值^0^ ^fight2^0^18002^5^18002^8^18002^10^122006|123007^120^1^0^3^0
0^110022^2.分而击之^1001^map1_5_2^map1_1_1^1105^110023^110023^0^0^0^^^^对象变量^0^ ^fight2^0^18002^5^18002^8^18002|10001^10|1^123035|124001|120004^120^1^0^4^0
0^110023^3. 奇袭^1001^map1_5_3^map1_1_1^1105^110024^110024^0^0^0^^^^数字变量^0^ ^fight2^0^18002^5^18002^8^18002^10^122001|120004|123014^120^1^0^3^0
0^110024^4. 伏兵^1001^map1_5_4^map1_1_1^1105^110026^110026^0^0^0^^^^变量^0^ ^fight2^0^18002^5^18002^8^18002^10^120004|123011^180^1^1^4^0
0^110025^test25^1001^map1_10_6^map1_1_1^1105^110026^110026^0^0^0^^^^基本语法^0^ ^fight2^0^18002^5^18002^8^18002|18000^10|5^122001^120^1^0^0^0
0^110026^1. 步步为营^1001^map1_6_1^map1_1_1^1106^110027^110027^0^0^0^^^^while循环|变量^0^ ^fight1^0^18002^5^18002^8^18002^10^122001|123012|120004^120^1^0^3^0
0^110027^2. 举一反三^1001^map1_6_2^map1_1_1^1106^110028^110028^0^0^0^^^^while循环|变量^0^ ^fight1^0^18002^5^18002^8^18002|18000^10|5^120004|124004|123011^120^1^0^3^0
0^110028^3. 策略^1001^map1_6_3^map1_1_1^1106^110029^110029^0^0^0^^^^while循环|变量^0^ ^fight1^0^18002^5^18002^8^18002^10^122001|123016|120004^120^1^0^4^0
0^110029^4. 瞒天过海^1001^map1_6_4^map1_1_1^1106^110031^110031^0^0^0^^^^while循环|变量^0^ ^fight1^0^18002|17000|19008^5|1|1^18002^8^18002^10^122001|124002|120004^120^1^0^3^0
0^110030^test30^1001^map1_10_6^map1_1_1^1106^110031^110031^0^0^0^^^^while循环|变量^0^ ^fight1^0^18002^5^18002^8^18002^10^122001^120^1^0^0^0
0^110031^1. 元素晶石^1001^map1_7_1^map1_1_1^1107^110032^110032^0^0^0^^17000^^多参数^0^ ^fight2^0^18002^5^18002^8^18002^10^122001|124003|123001^120^1^1^3^0
0^110032^2. 阻截^1001^map1_7_2^map1_1_1^1107^110033^110033^0^0^0^^17000^^多参数^0^ ^fight2^0^18002^5^18002^8^18002^10^122001|120004^120^1^0^4^0
0^110033^3. 攻防^1001^map1_7_3^map1_1_1^1107^110034^110034^0^0^0^^17000^^多参数^0^ ^fight2^0^18002^5^18002^8^18002|18000^10|5^122001|123032^120^1^0^3^0
0^110034^4. 生命线^1001^map1_7_4^map1_1_1^1107^110035^110035^0^0^0^^17000^^多参数^0^ ^fight2^0^18002^5^18002^8^18002^10^122001^35^1^1^3^0
0^110035^5. 请君入瓮^1001^map1_7_5^map1_1_1^1107^110036^110036^0^0^0^^17000^^多参数^0^ ^fight2^0^18002|14002^5|1^18002^8^18002^10^122001|120004^120^1^0^4^0
0^110036^1. 火速赴援^1001^map1_8_1^map1_1_1^1108^110037^110037^0^0^0^^^^坐标系|多参数^0^ ^fight1^0^18002^5^18002^8^18002|18000^10|5^122001|123012|120004^120^1^1^4^0
0^110037^2. 各个击破^1001^map1_8_2^map1_1_1^1108^110038^110038^0^0^0^^^^坐标系|多参数^0^ ^fight1^0^18002^5^18002^8^18002^10^122001|123013|120004^120^1^1^0^0
0^110038^3. 湖畔漫步^1001^map1_8_3^map1_1_1^1108^110039^110039^0^0^0^^^^坐标系|多参数^0^ ^fight1^0^18002^5^18002^8^18002|18000^10|5^122008|124008|126001^80^1^1^0^0
0^110039^4. 因地制宜^1001^map1_8_4^map1_1_1^1108^110040^110040^0^0^0^^^^坐标系|多参数^0^ ^fight1^0^18002^5^18002^8^18002^10^122001|120004|124002^120^1^1^3^0
0^110040^5. 迷宫入口^1001^map1_8_5^map1_1_1^1108^110041^110041^0^0^0^^ ^ ^坐标系|多参数^0^ ^fight1^0^18002|19001^5|1^18002|14003^8|1^18002^10^122001|123009|120004^120^1^1^4^0
0^110041^1. 印记魔符^1001^map1_9_1^map1_1_1^1109^110042^110042^0^0^0^^ ^ ^四则运算^0^ ^fight2^0^18002^5^18002^8^18002|18000^10|5^122001|123043|120004^120^1^0^3^0
0^110042^2. 智取^1001^map1_9_2^map1_1_1^1109^110043^110043^0^0^0^^ ^ ^整数|浮点数^0^ ^fight2^0^18002^5^18002^8^18002^10^122001|123018|120004^120^1^1^1^0
0^110043^3. 循序渐进^1001^map1_9_3^map1_1_1^1109^110046^110046^0^0^0^^ ^ ^运算|数列^0^ ^fight2^0^18002|19002^5|1^18002^8^18002|12003^10|1^120002^120^1^0^4^0
0^110044^test44^1001^map1_10_6^map1_1_1^1109^110045^110045^0^0^0^^^^方法使用^0^ ^fight2^0^18002^5^18002^8^18002^10^122001^120^1^0^0^0
0^110045^test45^1001^map1_10_6^map1_1_1^1109^110046^110046^0^0^0^^^^基本语法^0^ ^fight2^0^18002^5^18002^8^18002|18000^10|1^122001^120^1^0^0^0
0^110046^1. 血脉之绊^1001^map1_10_1^map1_1_1^1110^110047^110047^0^0^0^^ ^ ^字符串连接^0^ ^fight1^0^18002^5^18002^8^18002|18000^10|5^120002|123040^120^1^0^1^0
0^110047^2. 记忆谜题^1001^map1_10_2^map1_1_1^1110^110048^110048^0^0^0^^ ^ ^访问字符串中的值^0^ ^fight1^0^18002^5^18002^8^18002^10^120004|123041^120^1^0^1^0
0^110048^3. 几何谜题^1001^map1_10_3^map1_1_1^1110^110049^110049^0^0^0^^ ^ ^字符串和数字的转换^0^ ^fight1^0^18002|30002^5|1^18002^8^18002|10100|12101^15|1|1^120004|123042^120^1^0^1^0
0^110049^4. 上古河图^1001^map1_10_4^map1_1_1^1110^110051^110051^0^0^0^^^^综合知识^0^ ^fight1^0^18002|13001|19003^5|1|1^18002^8^18002^10^123021|123022|120004^180^1^0^0^0
0^110050^失踪的卷轴^1001^map1_10_5^map1_1_1^1110^110051^110051^0^0^0^^ ^ ^综合知识^0^ ^fight1^0^18002^10^18002^13^18000^5^122001|123011^350^1^0^0^0
0^110051^1. 变异巨鼠^1002^map2_1_1^map2_1_1^1111^110052^110052^0^0^0^^ ^ ^if条件^0^ ^fight2^0^18002^10^18002^15^18002^25^122001|120004^120^1^1^0^0
0^110052^2. 再次交锋^1002^map2_1_2^map2_1_1^1111^110053^110053^0^0^0^^^^if条件|else语句^0^ ^fight2^0^18002|15001^10|1^18002^15^18002^25^122001|120004|123017^120^1^1^0^0
0^110053^3. 机变^1002^map2_1_3^map2_1_1^1111^110054^110054^0^0^0^^^^if条件|elif语句^0^ ^fight2^0^18002^10^18002^15^18002^25^122001|120004^120^1^1^0^0
0^110054^4. 一脉相承^1002^map2_1_4^map2_1_1^1111^110055^110055^0^0^0^^^^if条件^0^ ^fight2^0^18002^10^18002^15^18002^25^120004|123025^120^1^1^0^0
0^110055^5. 两难抉择^1002^map2_1_5^map2_1_1^1111^110056^110056^0^0^0^^^^if条件^0^ ^fight2^0^18002|14004|19010^10|1|1^18002^15^18002^25^122001|120004|123302^120^1^1^0^0
0^110056^1. 身陷重围^1002^map2_2_1^map2_1_1^1112^110057^110057^0^0^0^^^^布尔运算|and语句^0^ ^fight1^0^18002^10^18002^15^18002^25^122001|123028^120^1^1^0^0
0^110057^2. 祸福未卜^1002^map2_2_2^map2_1_1^1112^110058^110058^0^0^0^^^^布尔运算|if嵌套^0^ ^fight1^0^18002^10^18002^15^18002|18000^25|20^120004|123302^120^1^1^0^0
0^110058^3. 有备无患^1002^map2_2_3^map2_1_1^1112^110059^110061^0^0^0^^^^布尔运算|or语句^0^ ^fight1^0^18002|19004^10|1^18002^15^18002|16002^25|1^122001|120004^120^1^1^0^0
0^110059^test59^1002^map2_2_4^map2_1_1^1112^110060^110060^0^0^0^^^^基本语法^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^120^1^1^0^0
0^110060^test60^1002^map2_2_5^map2_1_1^1112^110061^110061^0^0^0^^^^方法使用^0^ ^fight1^0^18002|19010^10|1^18002^15^18002^25^122001^120^1^1^0^0
0^110061^1. 脱困^1002^map2_3_1^map2_1_1^1113^110062^110062^0^0^0^^^^while循环|if条件^0^ ^fight2^0^18002^10^18002^15^18002^25^123024|124006^120^1^1^0^0
0^110062^2. 狂焰^1002^map2_3_2^map2_1_1^1113^110063^110063^0^0^0^^^^while循环|if条件^0^ ^fight2^0^18002^10^18002^15^18002^25^122001|123029^120^1^1^0^0
0^110063^3. 坚守阵地^1002^map2_3_3^map2_1_1^1113^110064^110064^0^0^0^^^^while循环|if条件^0^ ^fight2^0^18002^10^18002^15^18002|18000^25|20^122007^60^1^1^0^0
0^110064^4. 打地鼠^1002^map2_3_4^map2_1_1^1113^110065^110065^0^0^0^^^^while循环|if条件^0^ ^fight2^0^18002^10^18002^15^18002^25^122001|124007^120^1^1^0^0
0^110065^5. 遭遇突袭^1002^map2_3_5^map2_1_1^1113^110066^110066^0^0^0^^^^while循环|if条件^0^ ^fight2^0^18002|12102^10|1^18002^15^18002^25^122001|123033^120^1^1^0^0
0^110066^1. 狭路相逢^1002^map2_4_1^map2_1_1^1114^110067^110067^0^0^0^^^^while循环|布尔表达式^0^ ^fight1^0^18002^10^18002^15^18002^25^122001|123034|120004^120^1^1^0^0
0^110067^2. 行与止^1002^map2_4_2^map2_1_1^1114^110068^110068^0^0^0^^^^while循环|布尔表达式^0^ ^fight1^0^18002^10^18002^15^18002^25^127001|120004|123304^120^1^1^0^0
0^110068^3. 搜寻^1002^map2_4_3^map2_1_1^1114^110069^110069^0^0^0^^^^while循环|布尔表达式^0^ ^fight1^0^18002^10^18002^15^18002|18000^25|20^122001|120004|123305^120^1^1^0^0
0^110069^4. 突破防守^1002^map2_4_4^map2_1_1^1114^110070^110070^0^0^0^^^^while循环|布尔表达式^0^ ^fight1^0^18002^10^18002^15^18002^25^122001|120004|123303^120^1^1^0^0
0^110070^5. 多多益善^1002^map2_4_5^map2_1_1^1114^110071^110071^0^0^0^^^^while循环|布尔表达式^0^ ^fight1^0^18002|13002^10|1^18002^15^18002^25^120004|124011^120^1^1^0^0
0^110071^1. 静谧长廊^1002^map2_5_1^map2_1_1^1115^110072^110072^0^0^0^^^^pass语句^0^ ^fight2^0^18002^10^18002^15^18002|16003^25|1^122001|120004|123037^120^1^1^0^0
0^110072^2. 以退为进^1002^map2_5_2^map2_1_1^1115^110073^110073^0^0^0^^^^break语句^0^ ^fight2^0^18002^10^18002^15^18002^25^122001|120004|123306^120^1^1^0^0
0^110073^3. 三岔路口^1002^map2_5_3^map2_1_1^1115^110074^110074^0^0^0^^^^continue语句^0^ ^fight2^0^18002^10^18002^15^18002|18000^25|20^122001|123046^120^1^1^0^0
0^110074^4. 虎口脱险^1002^map2_5_4^map2_1_1^1115^110075^110075^0^0^0^^^^break语句|continue语句^0^ ^fight2^0^18002^10^18002^15^18002^25^123307|120004|123050^120^1^1^0^0
0^110075^5. 第二个卷轴^1002^map2_5_5^map2_1_1^1115^110076^110076^0^0^0^^^^break语句|continue语句^0^ ^fight2^0^18002^10^18002^15^18002^25^123044|120004^120^1^1^0^0
0^110076^1. 捷径^1002^map2_6_1^map2_1_1^1116^110077^110077^0^0^0^^^^while循环嵌套^0^ ^fight1^0^18002^10^18002^15^18002^25^122001|120004|123045^120^1^1^0^0
0^110077^2. 夺回地图^1002^map2_6_2^map2_1_1^1116^110078^110078^0^0^0^^^^while循环嵌套^0^ ^fight1^0^18002|16004^10|1^18002^15^18002^25^122001|123038|123039^120^1^1^0^0
0^110078^3. 未雨绸缪^1002^map2_6_3^map2_1_1^1116^110079^110081^0^0^0^^^^while循环嵌套^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^120^1^1^0^0
0^110079^4. 因势利导^1002^map2_6_4^map2_1_1^1116^110080^110080^0^0^0^^^^while循环嵌套^0^ ^fight1^0^18002^10^18002^15^18002^25^122001|120004|123310^120^1^1^0^0
0^110080^5. 流光法阵^1002^map2_6_5^map2_1_1^1116^110081^110081^0^0^0^^^^while循环嵌套^0^ ^fight1^0^18002|19011^10|1^18002^15^18002|18000^25|20^123051^120^1^1^0^0
0^110081^1. 极速追击^1002^map2_7_1^map2_7_4^1117^110082^110084^0^0^0^^^^while循环|if条件^0^ ^fight2^0^18002^10^18002^15^18002^25^122001|120004|124302^120^1^1^0^0
0^110082^2. 子弹时间^1002^map2_7_2^map2_7_4^1117^110083^110083^0^0^0^^^^while循环|if条件^0^ ^fight2^0^18002^10^18002^15^18002^25^122009^30^1^1^0^0
0^110083^3. 交叉火力^1002^map2_7_3^map2_7_4^1117^110084^110084^0^0^0^^^^while循环|if条件^0^ ^fight2^0^18002^10^18002^15^18002^25^122010^45^1^1^0^0
0^110084^4. 白虎军团^1002^map2_7_4^map2_7_4^1117^110085^110086^0^0^0^^^^while循环|if条件^0^ ^fight2^0^18002|17002^10|1^18002^15^18002^25^123048|124012|120004^120^1^1^0^0
0^110085^5. 平衡之卷^1002^map2_7_5^map2_7_4^1117^110086^110086^0^0^0^^^^while循环|if条件^0^ ^fight2^0^18002|14006^10|1^18002^15^18002^25^122001^120^1^1^0^0
0^110086^1. 黄雀在后^1002^map2_8_1^map2_7_4^1118^110087^110088^0^0^0^^^^列表概念|更新列表^0^ ^fight1^0^18002|15002^10|1^18002^15^18002^25^123049|122001|122011^120^1^1^0^0
0^110087^2. 各司其职^1002^map2_8_2^map2_7_4^1118^110088^110088^0^0^0^^^^访问列表中的值^0^ ^fight1^0^18002^10^18002^15^18002^25^124010^120^1^1^0^0
0^110088^3. 追兵^1002^map2_8_3^map2_1_1^1118^110089^110091^0^0^0^^^^访问列表中的值^0^ ^fight1^0^18002^10^18002^15^18002|18000^25|20^122001|120004|123317^120^1^1^0^0
0^110089^4. 断后^1002^map2_8_4^map2_1_1^1118^110090^110090^0^0^0^^^^列表截取^0^ ^fight1^0^18002^10^18002^15^18002^25^122001|122301|127302^120^1^1^0^0
0^110090^5. 反击战^1002^map2_8_5^map2_1_1^1118^110091^110091^0^0^0^^^^列表拼接^0^ ^fight1^0^18002^10^18002^15^18002^25^122001|123310|127303^120^1^1^0^0
0^110091^1. 新的帮手^1002^map2_9_1^map2_1_1^1119^110092^110101^0^0^0^^^^添加列表^0^ ^fight2^0^18002|14005^10|1^18002^15^18002^25^123047|124009^60^1^1^1^0
0^110092^2. 随行^1002^map2_9_2^map2_1_1^1119^110093^110093^0^0^0^^^^插入列表^0^ ^fight2^0^18002^10^18002^15^18002^25^120004|122306|123321^60^1^1^4^0
0^110093^3. 兵来将挡^1002^map2_9_3^map2_1_1^1119^110094^110094^0^0^0^^^^删除列表^0^ ^fight2^0^18002^10^18002^15^18002|18000^25|20^120004|122306|123320^60^1^1^4^0
0^110094^4. 宝石陷阱^1002^map2_9_4^map2_1_1^1119^110095^110095^0^0^0^^^^列表操作^0^ ^fight2^0^18002^10^18002^15^18002^25^122001|120004|124312^60^1^1^4^0
0^110095^5. 擒贼擒王^1002^map2_9_5^map2_1_1^1119^110096^110096^0^0^0^^^^列表操作^0^ ^fight2^0^18002^10^18002^15^18002^25^122304|123314|122305^60^1^1^4^0
0^110096^test96^1002^map2_10_1^map2_1_1^1120^110097^110097^0^0^0^^^^元祖^0^ ^fight1^0^18002^10^18002^15^18002^25^123319^60^1^1^1^0
0^110097^test97^1002^map2_10_2^map2_1_1^1120^110098^110098^0^0^0^^^^列表综合^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^40^1^1^4^0
0^110098^test98^1002^map2_10_3^map2_1_1^1120^110099^110099^0^0^0^^^^列表综合^0^ ^fight1^0^18002|18000^10|20^18002^15^18002^25^122001|120004|124311^60^1^1^1^0
0^110099^test99^1002^map2_10_4^map2_1_1^1120^110100^110100^0^0^0^^^^列表综合^0^ ^fight1^0^18002^10^18002^15^18002^25^122001|120004|124310^60^1^1^2^0
0^110100^test100^1002^map2_10_5^map2_1_1^1120^110101^110101^0^0^0^^^^列表综合^0^ ^fight1^0^18002|19005^10|1^18002^15^18002^25^122001|123318^60^1^1^3^0
0^110101^test101^1003^map3_1_1^map3_1_1^1121^110102^110102^0^0^0^^^^for循环^0^ ^fight1^0^18002^10^18002^15^18002^25^122001|123052^120^1^1^0^0
0^110102^test102^1003^map3_1_2^map3_1_1^1121^110103^110107^0^0^0^^^^for循环^0^ ^fight1^0^18002^10^18002^15^18002^25^122001|123053^120^1^1^0^0
0^110103^test103^1003^map3_1_3^map3_1_1^1121^110104^110104^0^0^0^^^^for循环^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^120^1^1^0^0
0^110104^test104^1003^map3_1_4^map3_1_1^1121^110105^110105^0^0^0^^^^for循环^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^120^1^1^0^0
0^110105^test105^1003^map3_1_5^map3_1_1^1121^110106^110106^0^0^0^^^^for循环^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^120^1^1^0^0
0^110106^test106^1003^map3_2_1^map3_1_1^1122^110107^110107^0^0^0^^^^序列索引迭代^0^ ^fight2^0^18002^10^18002^15^18002^25^123054|123055|123056^120^1^1^0^0
0^110107^test107^1003^map3_2_2^map3_1_1^1122^110108^110111^0^0^0^^^^序列索引迭代^0^ ^fight2^0^18002^10^18002^15^18002^25^122001|122012^120^1^1^0^0
0^110108^test108^1003^map3_2_3^map3_1_1^1122^110109^110109^0^0^0^^^^序列索引迭代^0^ ^fight2^0^18002^10^18002^15^18002^25^122001^120^1^1^0^0
0^110109^test109^1003^map3_2_4^map3_1_1^1122^110110^110110^0^0^0^^^^序列索引迭代^0^ ^fight2^0^18002^10^18002^15^18002^25^122001^120^1^1^0^0
0^110110^test110^1003^map3_2_5^map3_1_1^1122^110111^110111^0^0^0^^^^序列索引迭代^0^ ^fight2^0^18002^10^18002^15^18002^25^122001^120^1^1^0^0
0^110111^test111^1003^map3_3_1^map3_1_1^1123^110112^110112^0^0^0^^^^自定义函数^0^ ^fight1^0^18002^10^18002^15^18002^25^122013^120^1^1^0^0
0^110112^test112^1003^map3_3_2^map3_1_1^1123^110113^110116^0^0^0^^^^自定义函数^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^120^1^1^0^0
0^110113^test113^1003^map3_3_3^map3_1_1^1123^110114^110114^0^0^0^^^^自定义函数^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^120^1^1^0^0
0^110114^test114^1003^map3_3_4^map3_1_1^1123^110115^110115^0^0^0^^^^自定义函数^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^120^1^1^0^0
0^110115^test115^1003^map3_3_5^map3_1_1^1123^110116^110116^0^0^0^^^^自定义函数^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^120^1^1^0^0
0^110116^test116^1003^map3_4_1^map3_1_1^1124^110117^110117^0^0^0^^^^字典^0^ ^fight2^0^18002^10^18002^15^18002^25^122001|124013^120^1^1^1^0
0^110117^test117^1003^map3_4_2^map3_1_1^1124^110118^110121^0^0^0^^^^字典^0^ ^fight2^0^18002^10^18002^15^18002^25^122001|123057^120^1^1^4^0
0^110118^test118^1003^map3_4_3^map3_1_1^1124^110119^110119^0^0^0^^^^字典^0^ ^fight2^0^18002^10^18002^15^18002^25^122001^120^1^1^4^0
0^110119^test119^1003^map3_4_4^map3_1_1^1124^110120^110120^0^0^0^^^^字典^0^ ^fight2^0^18002^10^18002^15^18002^25^122001^120^1^1^4^0
0^110120^test120^1003^map3_4_5^map3_1_1^1124^110121^110121^0^0^0^^^^字典^0^ ^fight2^0^18002^10^18002^15^18002^25^122001^120^1^1^4^0
0^110121^test121^1003^map3_5_1^map3_1_1^1125^110122^110122^0^0^0^^^^for循环嵌套^0^ ^fight1^0^18002^10^18002^15^18002^25^123058^120^1^1^1^0
0^110122^test122^1003^map3_5_2^map3_1_1^1125^110123^0^0^0^0^^^^for循环嵌套^0^ ^fight1^0^18002^10^18002^15^18002^25^123059|122014^120^1^1^4^0
0^110123^test123^1003^map3_5_3^map3_1_1^1125^110124^110124^0^0^0^^^^for循环嵌套^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^120^1^1^1^0
0^110124^test124^1003^map3_5_4^map3_1_1^1125^110125^110125^0^0^0^^^^for循环嵌套^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^120^1^1^2^0
0^110125^test125^1003^map3_5_5^map3_1_1^1125^0^0^0^0^0^^^^for循环嵌套^0^ ^fight1^0^18002^10^18002^15^18002^25^122001^120^1^1^3^0
